,ImageID,Int1,Uni1,Int2,Uni2
268,CHUP-013_330_ax_fg,0,8,0,5
269,CHUP-013_331_ax_fg,0,6,0,8
270,CHUP-013_332_ax_fg,0,12,0,9
271,CHUP-013_333_ax_fg,3,13,0,11
272,CHUP-013_334_ax_fg,4,17,0,10
273,CHUP-013_335_ax_fg,6,19,0,8
274,CHUP-013_336_ax_fg,6,19,1,9
275,CHUP-013_337_ax_fg,7,21,2,8
276,CHUP-013_338_ax_fg,6,17,0,5
277,CHUP-013_339_ax_fg,5,14,0,4
278,CHUP-013_340_ax_fg,5,11,0,2
279,CHUP-013_341_ax_fg,5,10,0,2
280,CHUP-013_342_ax_fg,2,9,0,0
281,CHUP-013_343_ax_fg,2,7,0,0
282,CHUP-013_344_ax_fg,3,7,0,0
283,CHUP-013_345_ax_fg,4,8,0,0
284,CHUP-013_346_ax_fg,4,9,0,0
285,CHUP-013_347_ax_fg,0,3,0,0
286,CHUP-013_348_ax_fg,0,0,0,0
287,CHUP-015_268_ax_fg,0,1,0,0
288,CHUP-015_269_ax_fg,1,4,0,0
289,CHUP-015_270_ax_fg,2,6,0,0
290,CHUP-015_271_ax_fg,3,10,0,0
291,CHUP-015_272_ax_fg,6,13,0,0
292,CHUP-015_273_ax_fg,6,12,0,0
293,CHUP-015_274_ax_fg,7,17,0,1
294,CHUP-015_275_ax_fg,12,28,0,1
295,CHUP-015_276_ax_fg,12,30,0,2
296,CHUP-015_277_ax_fg,14,33,1,10
297,CHUP-015_278_ax_fg,17,43,6,18
298,CHUP-015_279_ax_fg,18,45,7,19
299,CHUP-015_280_ax_fg,20,47,8,19
300,CHUP-015_281_ax_fg,22,49,10,22
301,CHUP-015_282_ax_fg,19,45,10,23
302,CHUP-015_283_ax_fg,19,42,11,25
303,CHUP-015_284_ax_fg,20,50,13,28
304,CHUP-015_285_ax_fg,20,49,11,26
305,CHUP-015_286_ax_fg,22,54,11,26
306,CHUP-015_287_ax_fg,20,52,11,25
307,CHUP-015_288_ax_fg,19,49,10,22
308,CHUP-015_289_ax_fg,20,49,9,20
309,CHUP-015_290_ax_fg,24,57,6,15
310,CHUP-015_291_ax_fg,22,58,3,10
311,CHUP-015_292_ax_fg,18,48,2,7
312,CHUP-015_293_ax_fg,15,44,2,5
313,CHUP-015_294_ax_fg,19,46,0,1
314,CHUP-015_295_ax_fg,16,45,0,0
315,CHUP-015_296_ax_fg,13,38,0,0
316,CHUP-015_297_ax_fg,12,32,0,0
317,CHUP-015_298_ax_fg,9,27,0,0
318,CHUP-015_299_ax_fg,11,28,0,0
319,CHUP-015_300_ax_fg,7,24,0,0
320,CHUP-015_301_ax_fg,9,23,0,0
321,CHUP-015_302_ax_fg,9,21,0,0
322,CHUP-015_303_ax_fg,10,21,0,0
323,CHUP-015_304_ax_fg,6,14,0,0
324,CHUP-015_305_ax_fg,0,5,0,0
325,CHUP-026_364_ax_fg,0,0,0,2
326,CHUP-026_365_ax_fg,0,0,0,3
327,CHUP-026_366_ax_fg,0,0,0,4
328,CHUP-026_367_ax_fg,0,0,0,3
329,CHUP-026_368_ax_fg,0,0,0,3
330,CHUP-026_369_ax_fg,0,0,0,3
331,CHUP-026_370_ax_fg,0,1,0,2
332,CHUP-026_373_ax_fg,4,10,0,0
333,CHUP-026_374_ax_fg,4,14,0,3
334,CHUP-026_375_ax_fg,4,14,0,3
335,CHUP-026_376_ax_fg,6,16,0,4
336,CHUP-026_377_ax_fg,7,18,0,4
337,CHUP-026_378_ax_fg,7,20,0,4
338,CHUP-026_379_ax_fg,9,25,0,0
339,CHUP-026_380_ax_fg,9,25,0,0
340,CHUP-026_381_ax_fg,9,25,0,0
341,CHUP-026_382_ax_fg,9,26,0,0
342,CHUP-026_383_ax_fg,9,28,0,0
343,CHUP-026_384_ax_fg,7,26,0,0
344,CHUP-026_385_ax_fg,9,27,0,0
345,CHUP-026_386_ax_fg,8,26,0,0
346,CHUP-026_387_ax_fg,11,28,0,0
347,CHUP-026_388_ax_fg,8,24,0,0
348,CHUP-026_389_ax_fg,8,22,0,0
349,CHUP-026_390_ax_fg,3,9,0,0
350,CHUP-026_391_ax_fg,2,6,0,0
351,CHUP-037_372_ax_fg,0,0,0,1
352,CHUP-037_373_ax_fg,0,0,0,4
353,CHUP-037_374_ax_fg,0,0,1,6
354,CHUP-037_375_ax_fg,0,0,0,10
355,CHUP-037_376_ax_fg,0,0,4,19
356,CHUP-037_377_ax_fg,0,0,11,32
357,CHUP-037_378_ax_fg,0,0,13,38
358,CHUP-037_379_ax_fg,0,0,15,42
359,CHUP-037_380_ax_fg,0,0,17,44
360,CHUP-037_381_ax_fg,0,0,17,47
361,CHUP-037_382_ax_fg,0,0,19,49
362,CHUP-037_383_ax_fg,0,0,21,51
363,CHUP-037_384_ax_fg,0,0,22,54
364,CHUP-037_385_ax_fg,0,0,23,54
365,CHUP-037_386_ax_fg,1,2,19,50
366,CHUP-037_387_ax_fg,2,7,17,50
367,CHUP-037_388_ax_fg,4,11,16,49
368,CHUP-037_389_ax_fg,5,12,17,51
369,CHUP-037_390_ax_fg,5,15,19,54
370,CHUP-037_391_ax_fg,6,18,17,55
371,CHUP-037_392_ax_fg,6,21,16,52
372,CHUP-037_393_ax_fg,8,21,18,51
373,CHUP-037_394_ax_fg,8,21,17,46
374,CHUP-037_395_ax_fg,8,22,15,42
375,CHUP-037_396_ax_fg,12,27,10,35
376,CHUP-037_397_ax_fg,12,26,5,25
377,CHUP-037_398_ax_fg,13,28,1,14
378,CHUP-037_399_ax_fg,12,28,0,8
379,CHUP-037_400_ax_fg,11,28,0,5
380,CHUP-037_401_ax_fg,6,21,0,1
381,CHUP-037_402_ax_fg,1,10,0,0
382,CHUP-037_403_ax_fg,0,5,0,0
383,CHUP-037_404_ax_fg,0,4,0,0
384,CHUP-037_405_ax_fg,0,2,0,0
385,CHUP-037_406_ax_fg,0,2,0,0
386,CHUP-038_316_ax_fg,0,2,0,0
387,CHUP-038_317_ax_fg,2,6,0,0
388,CHUP-038_318_ax_fg,3,10,0,0
389,CHUP-038_319_ax_fg,13,39,0,0
390,CHUP-038_320_ax_fg,17,44,0,0
391,CHUP-038_321_ax_fg,22,52,0,0
392,CHUP-038_322_ax_fg,24,57,0,0
393,CHUP-038_323_ax_fg,26,58,0,0
394,CHUP-038_324_ax_fg,29,63,0,1
395,CHUP-038_325_ax_fg,25,54,4,11
396,CHUP-038_326_ax_fg,25,53,9,25
397,CHUP-038_327_ax_fg,21,48,14,40
398,CHUP-038_328_ax_fg,19,45,18,47
399,CHUP-038_329_ax_fg,14,35,23,55
400,CHUP-038_330_ax_fg,10,27,19,53
401,CHUP-038_331_ax_fg,8,22,19,55
402,CHUP-038_332_ax_fg,5,17,16,54
403,CHUP-038_333_ax_fg,4,14,8,46
404,CHUP-038_334_ax_fg,1,9,5,42
405,CHUP-038_335_ax_fg,0,6,0,36
406,CHUP-038_336_ax_fg,0,0,0,33
407,CHUP-038_337_ax_fg,0,0,0,29
408,CHUP-038_338_ax_fg,0,0,0,23
409,CHUP-038_339_ax_fg,0,0,0,14
410,CHUP-038_340_ax_fg,0,0,0,8
411,CHUP-038_341_ax_fg,0,0,0,1
412,CHUP-047_420_ax_fg,0,0,0,1
413,CHUP-047_421_ax_fg,0,0,0,1
414,CHUP-047_422_ax_fg,0,0,0,1
415,CHUP-047_423_ax_fg,0,0,0,0
416,CHUP-047_425_ax_fg,0,0,0,1
417,CHUP-047_426_ax_fg,0,0,0,2
418,CHUP-047_427_ax_fg,0,0,0,4
419,CHUP-047_428_ax_fg,0,0,0,3
420,CHUP-047_429_ax_fg,2,10,0,2
421,CHUP-047_430_ax_fg,5,15,0,1
422,CHUP-047_431_ax_fg,6,17,0,1
423,CHUP-047_432_ax_fg,6,18,0,0
424,CHUP-047_433_ax_fg,6,19,0,0
425,CHUP-047_434_ax_fg,5,18,0,0
426,CHUP-047_435_ax_fg,6,19,0,0
427,CHUP-047_436_ax_fg,7,22,0,0
428,CHUP-047_437_ax_fg,8,26,0,0
429,CHUP-047_438_ax_fg,12,34,0,0
430,CHUP-047_439_ax_fg,14,40,0,0
431,CHUP-047_440_ax_fg,16,46,0,0
432,CHUP-047_441_ax_fg,20,49,0,0
433,CHUP-047_442_ax_fg,21,51,0,1
434,CHUP-047_443_ax_fg,21,48,0,0
435,CHUP-047_444_ax_fg,21,45,0,0
436,CHUP-047_445_ax_fg,20,42,0,0
437,CHUP-047_446_ax_fg,19,41,0,0
438,CHUP-047_447_ax_fg,20,42,0,0
439,CHUP-047_448_ax_fg,20,43,0,0
440,CHUP-047_449_ax_fg,19,39,0,0
441,CHUP-047_450_ax_fg,13,32,0,0
442,CHUP-047_451_ax_fg,7,17,0,0
443,CHUP-047_452_ax_fg,3,9,0,0
444,CHUP-049_410_ax_fg,0,1,0,0
445,CHUP-049_411_ax_fg,2,8,0,0
446,CHUP-049_412_ax_fg,7,15,0,0
447,CHUP-049_413_ax_fg,6,15,0,0
448,CHUP-049_414_ax_fg,5,15,0,0
449,CHUP-049_415_ax_fg,8,19,0,0
450,CHUP-049_416_ax_fg,9,22,0,0
451,CHUP-049_417_ax_fg,11,26,1,4
452,CHUP-049_418_ax_fg,13,32,2,6
453,CHUP-049_419_ax_fg,15,36,5,11
454,CHUP-049_420_ax_fg,17,38,5,11
455,CHUP-049_421_ax_fg,20,44,6,12
456,CHUP-049_422_ax_fg,20,44,6,12
457,CHUP-049_423_ax_fg,18,43,5,10
458,CHUP-049_424_ax_fg,17,41,2,4
459,CHUP-049_425_ax_fg,15,37,0,1
460,CHUP-049_426_ax_fg,14,31,0,4
461,CHUP-049_427_ax_fg,10,25,0,4
462,CHUP-049_428_ax_fg,9,22,0,2
463,CHUP-049_429_ax_fg,7,18,0,2
464,CHUP-049_430_ax_fg,6,16,0,2
465,CHUP-049_431_ax_fg,6,15,0,2
466,CHUP-049_432_ax_fg,5,12,0,2
467,CHUP-049_433_ax_fg,5,12,0,1
468,CHUP-049_434_ax_fg,4,8,0,0
469,CHUP-051_371_ax_fg,0,0,0,0
470,CHUP-051_372_ax_fg,0,0,0,2
471,CHUP-051_373_ax_fg,0,0,2,8
472,CHUP-051_374_ax_fg,0,0,5,14
473,CHUP-051_375_ax_fg,0,0,5,15
474,CHUP-051_376_ax_fg,0,0,8,18
475,CHUP-051_377_ax_fg,0,0,7,18
476,CHUP-051_378_ax_fg,0,0,9,20
477,CHUP-051_379_ax_fg,1,2,9,20
478,CHUP-051_380_ax_fg,3,6,9,21
479,CHUP-051_381_ax_fg,3,7,9,22
480,CHUP-051_382_ax_fg,4,8,9,22
481,CHUP-051_383_ax_fg,3,7,9,23
482,CHUP-051_384_ax_fg,4,8,9,22
483,CHUP-051_385_ax_fg,4,9,8,17
484,CHUP-051_386_ax_fg,4,11,8,16
485,CHUP-051_387_ax_fg,4,11,8,16
486,CHUP-051_388_ax_fg,2,7,5,12
487,CHUP-051_389_ax_fg,4,8,2,6
488,CHUP-051_390_ax_fg,2,4,0,0
489,CHUP-051_391_ax_fg,2,4,0,0
490,CHUP-052_306_ax_fg,0,0,0,0
491,CHUP-052_307_ax_fg,0,0,0,2
492,CHUP-052_308_ax_fg,0,0,0,2
493,CHUP-052_309_ax_fg,0,0,0,2
494,CHUP-052_310_ax_fg,0,0,0,2
495,CHUP-052_311_ax_fg,0,0,1,4
496,CHUP-052_312_ax_fg,0,0,0,2
497,CHUP-052_313_ax_fg,0,0,0,2
498,CHUP-052_314_ax_fg,0,0,0,2
499,CHUP-052_316_ax_fg,0,0,0,1
500,CHUP-052_317_ax_fg,0,2,2,8
501,CHUP-052_318_ax_fg,0,0,5,16
502,CHUP-052_319_ax_fg,0,0,6,16
503,CHUP-052_320_ax_fg,0,0,5,22
504,CHUP-052_321_ax_fg,0,0,2,17
505,CHUP-052_322_ax_fg,0,0,1,13
506,CHUP-052_323_ax_fg,0,0,1,10
